drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Gray,,,"Janesville, WI",Acura,"34,267",TLX,FWD,,2015 Acura TLX,"$19,999",,https://www.truecar.com/used-cars-for-sale/listing/19UUB1F33FA005409/2015-acura-tlx/,19UUB1F33FA005409,2015
,,Satin Silver Metallic,,Ebony,"MADISON, WI",Acura,"188,055",RSX,Automatic,,2002 Acura RSX,"$3,000",,https://www.truecar.com/used-cars-for-sale/listing/JH4DC54822C013015/2002-acura-rsx/,JH4DC54822C013015,2002
,,Blue,,Black,"Madison, WI",Acura,"224,125",RL,Automatic,,2005 Acura RL,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/JH4KB16525C000811/2005-acura-rl/,JH4KB16525C000811,2005
,,Satin Silver Metallic,,Ebony,"Middleton, WI",Acura,"123,390",TSX,Automatic,,2005 Acura TSX,"$7,900",,https://www.truecar.com/used-cars-for-sale/listing/JH4CL96895C010987/2005-acura-tsx/,JH4CL96895C010987,2005
,,Jade Green Metallic,,Titanium,"Middleton, WI",Acura,"64,565",RSX,Automatic,,2005 Acura RSX,"$8,900",,https://www.truecar.com/used-cars-for-sale/listing/JH4DC54875S007169/2005-acura-rsx/,JH4DC54875S007169,2005
,,Palladium Metallic,,Ebony,"Middleton, WI",Acura,"109,350",TL,4dr Sedan 2WD Tech,,2010 Acura TL,"$13,900",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F56AA016071/2010-acura-tl/,19UUA8F56AA016071,2010
,,Billet Silver Metallic,,Ebony,"Middleton, WI",Acura,"103,878",MDX,AWD 4dr,,2009 Acura MDX,"$13,980",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD282X9H527894/2009-acura-mdx/,2HNYD282X9H527894,2009
,,Black,,Parchment,"MADISON, WI",Acura,"31,051",TSX,5-Speed Automatic,,2013 Acura TSX,"$15,777",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F46DC011398/2013-acura-tsx/,JH4CU2F46DC011398,2013
,,Gold,,,"Janesville, WI",Honda,"167,796",Odyssey,EX,,2004 Honda Odyssey,"$4,499",,https://www.truecar.com/used-cars-for-sale/listing/5FNRL18644B100929/2004-honda-odyssey/,5FNRL18644B100929,2004
,,Palladium Metallic,,Ebony,"Middleton, WI",Acura,"118,253",MDX,AWD 4dr,,2011 Acura MDX,"$17,995",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD2H26BH541068/2011-acura-mdx/,2HNYD2H26BH541068,2011
